Measurement Date,Water Temperature,Turbidity,Wave Height,Wave Period,Battery Life,Measurement Day,Measurement Month,Measurement Year,Measurement Hour,Latitude,Longitude,class,Air Temperature,Wet Bulb Temperature,Humidity,Total Rain,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation,Heading
2015-01-06,11.001136363636364,56.67147727272727,0.337375,4.443181818181818,10.896590909090909,1.0,6.0,2015.0,11.340909090909092,41.87124054545455,-87.59927336363636,1,9.539130434782608,7.743478260869565,78.95652173913044,10.3,35.30434782608695,3.1869565217391305,4.243478260869565,1001.3260869565217,216.6086956521739,358.95652173913044
2015-01-07,18.78715596330275,2.628348623853211,0.3062477064220184,4.972477064220183,11.585321100917431,1.0,7.0,2015.0,10.431192660550458,41.87037228440367,-87.6002556972477,0,14.802439024390244,13.134146341463415,83.36585365853658,224.28536585365856,48.1219512195122,3.1853658536585363,4.721951219512195,992.2780487804879,284.9512195121951,330.2682926829268
2015-01-08,22.913636363636364,0.5203409090909091,0.15503409090909093,3.6931818181818183,10.85909090909091,1.0,8.0,2015.0,11.625,41.84079286363636,-87.58703790909091,0,26.13478260869565,17.756521739130438,44.65217391304348,329.0782608695652,270.4347826086956,2.393478260869565,4.5,991.9717391304347,249.6304347826087,185.34782608695653
2015-01-09,18.40948275862069,0.2973275862068966,0.09562068965517243,4.663793103448276,10.914655172413791,1.0,9.0,2015.0,9.551724137931034,41.853128181034485,-87.59217446551723,0,27.34054054054054,23.54054054054054,74.0,445.8459459459459,197.8108108108108,1.9162162162162164,3.9270270270270276,994.7054054054054,263.43243243243245,191.97297297297297
2015-02-06,13.275555555555554,28.05077777777778,0.20202222222222221,3.8333333333333335,10.901111111111112,2.0,6.0,2015.0,11.522222222222222,41.869314333333335,-87.59865513333332,1,11.945,9.65,75.45,10.3,84.2,1.0050000000000001,1.7399999999999998,998.915,270.9,233.35
2015-02-07,19.201724137931034,4.695689655172414,0.32391379310344826,3.9482758620689653,11.532758620689656,2.0,7.0,2015.0,18.344827586206897,41.853653517241376,-87.59216486206897,0,15.955555555555556,14.311111111111112,84.38888888888889,229.56666666666666,15.444444444444445,4.511111111111111,6.911111111111111,993.2055555555556,281.77777777777777,276.44444444444446
2015-02-08,23.289130434782606,0.6859782608695653,0.1146195652173913,4.217391304347826,10.884782608695652,2.0,8.0,2015.0,11.76086956521739,41.84187361956522,-87.58792625,0,28.111904761904764,21.985714285714284,60.666666666666664,334.747619047619,241.1904761904762,4.164285714285715,7.909523809523809,986.4071428571428,272.5238095238095,194.47619047619048
2015-02-09,18.66865671641791,0.40985074626865675,0.09580597014925372,4.656716417910448,11.665671641791045,2.0,9.0,2015.0,15.462686567164178,41.83403856716418,-87.5842099402985,0,29.46923076923077,23.126923076923074,59.92307692307692,455.3076923076923,230.96153846153845,2.0153846153846153,3.6423076923076922,993.6730769230769,287.7307692307692,205.07692307692307
2015-03-06,13.771641791044777,10.48865671641791,0.17428358208955222,2.925373134328358,10.891044776119404,3.0,6.0,2015.0,13.432835820895523,41.862448940298506,-87.59634234328358,1,16.22,12.930000000000001,69.4,10.3,105.25,1.56,2.9899999999999998,995.365,310.35,125.65
2015-03-07,19.460283687943264,3.402624113475177,0.2078723404255319,3.730496453900709,11.499290780141845,3.0,7.0,2015.0,11.631205673758865,41.85318704255319,-87.59226423404255,0,18.004166666666666,15.766666666666666,79.89583333333333,222.79999999999998,80.125,1.3770833333333334,2.3333333333333335,992.2458333333334,241.45833333333334,184.70833333333334
